m,cov_bin,obs_clust_weight,exp_clust_weight,exp_std_dev,z_score
234,0.696428571428571,545,401.068017057569,10.9500490673653,13.1444144274563
235,0.699404761904762,547,404.51066098081,10.9427525081214,13.0213434794799
236,0.702380952380952,551,407.968017057569,10.9347259393157,13.0805274623446
237,0.705357142857143,558,411.440085287847,10.9259618933712,13.4139141379462
238,0.708333333333333,558,414.926865671642,10.9164527309356,13.1061928132488
239,0.711309523809524,562,418.428358208955,10.9061906349945,13.1642336537167
240,0.714285714285714,569,421.944562899787,10.8951676047221,13.4973083880305
241,0.717261904761905,569,425.475479744136,10.8833754490486,13.1875005992199
242,0.720238095238095,569,429.021108742004,10.870805779918,12.8765883681395
243,0.723214285714286,571,432.58144989339,10.8574500052759,12.7487163228335
244,0.726190476190476,572,436.156503198294,10.8432993216507,12.5278748443722
245,0.729166666666667,576,439.746268656716,10.8283447064519,12.5830618655961
246,0.732142857142857,581,443.350746268657,10.8125769098588,12.7304762665629
247,0.735119047619048,584,446.969936034115,10.7959864463,12.6926858094424
248,0.738095238095238,586,450.603837953092,10.7785635855587,12.5616146318712
249,0.741071428571429,590,454.252452025586,10.7602983433778,12.6155933267368
250,0.744047619047619,592,457.915778251599,10.7411804716283,12.4831923365006
251,0.74702380952381,596,461.59381663113,10.7211994479552,12.5364875470631
252,0.75,598,465.286567164179,10.7003444648911,12.4027252834025
253,0.75297619047619,602,468.994029850746,10.6786044183897,12.455370096883
254,0.755952380952381,604,472.716204690832,10.6559678957753,12.3202131043598
255,0.758928571428571,608,476.453091684435,10.6324231630004,12.3722416140596
256,0.761904761904762,612,480.204690831556,10.6079581512596,12.4241920348068
257,0.764880952380952,613,483.971002132196,10.5825604428112,12.1926067481574
258,0.767857142857143,616,487.752025586354,10.5562172560482,12.1490465100238
259,0.770833333333333,621,491.54776119403,10.5289154297171,12.2949262599831
260,0.773809523809524,622,495.358208955224,10.5006414061899,12.060386232228
261,0.776785714285714,625,499.183368869936,10.4713812138269,12.015285143466
262,0.779761904761905,626,503.023240938166,10.4411204482403,11.7781189932121
263,0.782738095238095,628,506.877825159915,10.4098442524914,11.6353493772106
264,0.785714285714286,630,510.747121535181,10.3775372960168,11.491443014191
265,0.788690476190476,634,514.631130063966,10.3441837523576,11.5397089604898
266,0.791666666666667,634,518.529850746269,10.3097672753867,11.2000733061552
267,0.794642857142857,634,522.44328358209,10.2742709741294,10.8578717359908
268,0.797619047619048,636,526.371428571429,10.2376773859043,10.7083440214197
269,0.800595238095238,637,530.314285714286,10.1999684477086,10.4594161082607
270,0.803571428571429,642,534.271855010661,10.161125465811,10.6019894500674
271,0.806547619047619,646,538.244136460554,10.1211290831393,10.6466247643216
272,0.80952380952381,646,542.231130063966,10.0799592446049,10.2945723705753
273,0.8125,651,546.232835820896,10.0375951598627,10.4374765579346
274,0.81547619047619,653,550.249253731343,9.99401526361596,10.281227670597
275,0.818452380952381,658,554.280383795309,9.94919717291968,10.4249231774199
276,0.821428571428571,658,558.326226012793,9.90311764149458,10.0648884114603
277,0.824404761904762,660,562.386780383795,9.85575251058505,9.9041873780179
278,0.827380952380952,660,566.462046908316,9.8070766561391,9.53780177022793
279,0.830357142857143,664,570.552025586354,9.75706393195983,9.57746870014368
280,0.833333333333333,670,574.656716417911,9.70568710837459,9.82344500883634
281,0.836309523809524,671,578.776119402985,9.65291780606527,9.55399004216812
282,0.839285714285714,673,582.910234541578,9.59872642452194,9.3855957003076
283,0.842261904761905,677,587.059061833689,9.54308206466163,9.42472647273628
284,0.845238095238095,680,591.222601279318,9.4859524448127,9.35882814479313
285,0.848214285714286,684,595.400852878465,9.42730380962423,9.39814276814599
286,0.851190476190476,687,599.59381663113,9.36710083097503,9.33118848041393
287,0.854166666666667,688,603.801492537313,9.30530650001424,9.0484399909404
288,0.857142857142857,689,608.023880597015,9.24188200943234,8.76186466353284
289,0.860119047619048,691,612.260980810235,9.17678662470386,8.5802386401576
290,0.863095238095238,694,616.512793176972,9.10997754322849,8.50575168328758
291,0.866071428571429,697,620.779317697228,9.04140973962698,8.43017676421735
292,0.869047619047619,697,625.060554371002,8.97103579589811,8.0190790969635
293,0.87202380952381,700,629.356503198294,8.89880571407327,7.93853681848393
294,0.875,703,633.667164179104,8.82466670959025,7.85670871235825
295,0.87797619047619,709,637.992537313433,8.74856298259607,8.11647156542459
296,0.880952380952381,710,642.332622601279,8.67043546428079,7.8043804924778
297,0.883928571428571,714,646.687420042644,8.59022153479973,7.83595390231405
298,0.886904761904762,719,651.056929637527,8.50785470888481,7.98592273696446
299,0.889880952380952,720,655.441151385927,8.42326428429145,7.66435035577221
300,0.892857142857143,722,659.840085287846,8.33637494774869,7.45646820131817
301,0.895833333333333,723,664.253731343284,8.24710633172345,7.12325830342967
302,0.898809523809524,726,668.682089552239,8.15537251444237,7.02823940246221
303,0.901785714285714,732,673.125159914712,8.06108145391386,7.30359076779985
304,0.904761904761905,736,677.582942430704,7.96413434480327,7.33501659316112
305,0.907738095238095,740,682.055437100213,7.86442488509075,7.36793392351387
306,0.910714285714286,746,686.542643923241,7.76183843639256,7.66021562597647
307,0.913690476190476,749,691.044562899787,7.65625105825227,7.56968869741362
308,0.916666666666667,752,695.561194029851,7.547528392647,7.47778650625991
309,0.919642857142857,753,700.092537313433,7.43552436890495,7.11549852594445
310,0.922619047619048,760,704.638592750533,7.32007969254643,7.56295143970056
311,0.925595238095238,761,709.199360341151,7.20102007195683,7.19351413289036
312,0.928571428571429,763,713.774840085288,7.07815412475305,6.95451936297439
313,0.931547619047619,766,718.365031982942,6.95127089025838,6.85269913503356
314,0.93452380952381,767,722.969936034115,6.82013685293781,6.4558915627798
315,0.9375,769,727.589552238806,6.68449235357616,6.195002637566
316,0.94047619047619,772,732.223880597015,6.54404722653171,6.07821398991737
317,0.943452380952381,776,736.872921108742,6.39847544798694,6.11506275351388
318,0.946428571428571,777,741.536673773987,6.24740850568143,5.67648588911101
319,0.949404761904762,779,746.21513859275,6.09042709488453,5.38301516404099
320,0.952380952380952,782,750.908315565032,5.92705059171011,5.24572617592544
321,0.955357142857143,785,755.616204690832,5.75672352832145,5.10425681633111
322,0.958333333333333,788,760.338805970149,5.57879795262332,4.95827134532515
323,0.961309523809524,789,765.076119402985,5.39251002581001,4.43650182985453
324,0.964285714285714,793,769.828144989339,5.19694837004313,4.45874258521232
325,0.967261904761905,797,774.594882729211,4.99101029745731,4.48909457914828
326,0.970238095238095,799,779.376332622601,4.77333970359183,4.11109801438022
327,0.973214285714286,800,784.17249466951,4.54223623847295,3.48451830761922
328,0.976190476190476,803,788.983368869936,4.2955175985357,3.26308315785788
329,0.979166666666667,809,793.808955223881,4.03030140445978,3.76920811910235
330,0.982142857142857,812,798.649253731343,3.74264041539595,3.56719983403597
331,0.985119047619048,815,803.504264392324,3.42686859643053,3.35458897363324
332,0.988095238095238,818,808.373987206823,3.07431554225385,3.13110761106843
333,0.991071428571429,819,813.25842217484,2.67042949164776,2.15005782519916
334,0.994047619047619,821,818.157569296375,2.18692354766354,1.29973940180099
335,0.99702380952381,824,823.071428571429,1.55100362502891,0.598690688781683
336,1,828,828,0,0
