m,cov_bin,observed,expected,z_score
271,0.806547619047619,48,41.1339285714286,2.63888920306895
272,0.80952380952381,48,41.2857142857143,2.59584969170536
273,0.8125,48,41.4375,2.55253602994568
274,0.81547619047619,48,41.5892857142857,2.50893527874984
275,0.818452380952381,49,41.7410714285714,2.85887667504005
276,0.821428571428571,49,41.8928571428571,2.81720883494968
277,0.824404761904762,49,42.0446428571429,2.77528576120759
278,0.827380952380952,49,42.1964285714286,2.73309493160113
279,0.830357142857143,49,42.3482142857143,2.69062320535856
280,0.833333333333333,49,42.5,2.64785677687369
281,0.836309523809524,49,42.6517857142857,2.60478112510985
282,0.839285714285714,50,42.8035714285714,2.97474503213138
283,0.842261904761905,50,42.9553571428571,2.93414782924037
284,0.845238095238095,50,43.1071428571429,2.89329421495994
285,0.848214285714286,50,43.2589285714286,2.8521710917195
286,0.851190476190476,50,43.4107142857143,2.81076465223311
287,0.854166666666667,50,43.5625,2.76906032123186
288,0.857142857142857,50,43.7142857142857,2.72704269112873
289,0.860119047619048,50,43.8660714285714,2.68469545083467
290,0.863095238095238,50,44.0178571428571,2.64200130682395
291,0.866071428571429,50,44.1696428571429,2.59894189540513
292,0.869047619047619,50,44.3214285714286,2.55549768498589
293,0.87202380952381,50,44.4732142857143,2.51164786691978
294,0.875,50,44.625,2.46737023328515
295,0.87797619047619,50,44.7767857142857,2.4226410396601
296,0.880952380952381,50,44.9285714285714,2.37743485061415
297,0.883928571428571,50,45.0803571428571,2.33172436522199
298,0.886904761904762,50,45.2321428571429,2.28548021940031
299,0.889880952380952,50,45.3839285714286,2.2386707612543
300,0.892857142857143,50,45.5357142857143,2.19126179486629
301,0.895833333333333,50,45.6875,2.14321628703021
302,0.898809523809524,50,45.8392857142857,2.09449403028415
303,0.901785714285714,50,45.9910714285714,2.04505125415769
304,0.904761904761905,50,46.1428571428571,1.99484017474988
305,0.907738095238095,50,46.2946428571429,1.94380847047945
306,0.910714285714286,50,46.4464285714286,1.89189866895628
307,0.913690476190476,50,46.5982142857143,1.83904742621811
308,0.916666666666667,50,46.75,1.7851846747906
309,0.919642857142857,50,46.9017857142857,1.73023261079829
310,0.922619047619048,50,47.0535714285714,1.67410448216557
311,0.925595238095238,50,47.2053571428571,1.61670312908573
312,0.928571428571429,50,47.3571428571429,1.55791921337709
313,0.931547619047619,50,47.5089285714286,1.49762905361651
314,0.93452380952381,50,47.6607142857143,1.43569195588223
315,0.9375,50,47.8125,1.37194689234938
316,0.94047619047619,50,47.9642857142857,1.30620832702767
317,0.943452380952381,50,48.1160714285714,1.23826091219078
318,0.946428571428571,50,48.2678571428571,1.16785266889996
319,0.949404761904762,50,48.4196428571429,1.09468610189644
320,0.952380952380952,50,48.5714285714286,1.01840645264373
321,0.955357142857143,50,48.7232142857143,0.938585913455901
322,0.958333333333333,50,48.875,0.854702022449912
323,0.961309523809524,50,49.0267857142857,0.766107476736238
324,0.964285714285714,50,49.1785714285714,0.671986950425661
325,0.967261904761905,50,49.3303571428571,0.571293628502663
326,0.970238095238095,50,49.4821428571429,0.462652947893654
327,0.973214285714286,50,49.6339285714286,0.344211095767507
328,0.976190476190476,50,49.7857142857143,0.213385775980082
329,0.979166666666667,50,49.9375,0.0664335118838273
330,0.982142857142857,50,50.0892857142857,-0.102353699621095
331,0.985119047619048,50,50.2410714285714,-0.302274078094315
332,0.988095238095238,50,50.3928571428571,-0.549907672507211
333,0.991071428571429,50,50.5446428571429,-0.878988576792535
334,0.994047619047619,51,50.6964285714286,0.599137945693961
335,0.99702380952381,51,50.8482142857143,0.423021711524426
336,1,51,51,0
